Country,Ljung-Box Q,ARCH LM,Jarque-Bera
Australia,6.9792 (0.7274),\textbf{16.1039} (0.0029),\textbf{95.8223} (0.0000)
Brazil,\textbf{116.5459} (0.0000),\textbf{42.9387} (0.0000),\textbf{1137.8206} (0.0000)
Canada,13.6909 (0.1876),\textbf{15.7658} (0.0034),\textbf{459.3778} (0.0000)
Euro Area,13.1940 (0.2130),\textbf{44.5248} (0.0000),\textbf{34.9023} (0.0000)
Indonesia,\textbf{18.4401} (0.0480),\textbf{12.1655} (0.0162),\textbf{14776.0672} (0.0000)
Japan,\textbf{18.9679} (0.0407),5.8822 (0.2081),\textbf{34.0992} (0.0000)
Korea,\textbf{23.6200} (0.0087),\textbf{118.8522} (0.0000),\textbf{2303.7557} (0.0000)
Mexico,\textbf{73.4924} (0.0000),7.3842 (0.1169),\textbf{76830.4361} (0.0000)
New Zealand,\textbf{19.0202} (0.0400),\textbf{35.3253} (0.0000),\textbf{57.6146} (0.0000)
Philippines,\textbf{44.5250} (0.0000),8.7590 (0.0674),\textbf{17646.0861} (0.0000)
Switzerland,9.9739 (0.4428),\textbf{17.5657} (0.0015),\textbf{12.9100} (0.0016)
Thailand,17.6522 (0.0611),\textbf{58.8718} (0.0000),\textbf{12733.6133} (0.0000)
Türkiye,\textbf{42.9295} (0.0000),\textbf{43.7378} (0.0000),\textbf{4739.0173} (0.0000)
United Kingdom,5.2295 (0.8753),8.9690 (0.0619),\textbf{101.2747} (0.0000)
