Country,Linear_RMSE,Linear_AIC,STR_RMSE,STR_AIC,BUIP_RMSE,BUIP_AIC
Australia,0.03217623469367898,-3506.130749260508,0.03220736770618973,-3485.4001226070955,0.03190794865066999,-3494.908328499931
Brazil,0.11873679180714101,-2180.2480669384495,0.114526714880616,-2206.953897438776,0.10602769611107407,-2281.424143500576
Canada,0.020526678428497373,-3981.0666283075275,0.020436849985529235,-3971.785611079526,0.020212067966470418,-3975.307888314345
Euro Area,0.026758304584949565,-2289.6571948974724,0.02670288141207718,-2270.4797948463056,0.026137450559276687,-2283.963246648959
Indonesia,0.06088265499677218,-2608.0856969521487,0.057093450219144075,-2644.925133016087,0.044228838152102094,-2888.091777865429
Japan,0.03020884433355249,-3339.637235044193,0.029565620650156676,-3347.170476565462,0.02971944045369106,-3335.188100019003
Korea,0.029039773140223202,-3618.0270346566044,0.027506137839735243,-3646.026334932282,0.027393062707201165,-3657.4147931839093
Mexico,0.053456989682553864,-2999.028704442261,0.04332352807007107,-3189.840606466933,0.05223763076720152,-3004.8950951443935
New Zealand,0.03421010758384692,-3247.725706323724,0.03366290181548103,-3236.921811183409,0.033701289561829176,-3242.6104093692425
Philippines,0.028907550444255817,-3332.1206144370663,0.0282759106892726,-3332.668856161912,0.028673982235374092,-3319.555672894866
Switzerland,0.03071631591435461,-3574.4842190287386,0.03036270873788171,-3573.3981526745924,0.03034022999618943,-3567.1674618517463
Thailand,0.027277940246314376,-3113.0522413194944,0.027366891902847582,-3075.44549334474,0.026962717041174256,-3102.664787534181
Türkiye,0.055962410579968085,-2698.3243999697056,0.05287564614867882,-2727.905176730242,0.05366087247241508,-2720.0164773071765
United Kingdom,0.02777631593626759,-3677.911569987077,0.027698611286735727,-3660.4459531248226,0.027247157844731532,-3677.273408090459
