Country,Start Date,End Date,Observations,Source
Australia,1982-09,2025-04,512,"IMF/IFS (S, CPI interp., i)"
Brazil,1982-09,2025-06,514,"IMF/IFS (S, CPI, MM rate)"
Canada,1982-09,2025-06,514,"IMF/IFS (S, CPI), OECD (i)"
Euro Area,1999-02,2025-07,318,"IMF/IFS (S, CPI), OECD (i)"
Indonesia,1986-06,2025-05,468,"IMF/IFS (S, CPI, i combined)"
Japan,1985-08,2025-06,479,"IMF/IFS (S, CPI), OECD (i)"
Korea,1982-09,2025-05,513,"IMF/IFS (S, CPI, MM rate)"
Mexico,1982-09,2025-06,514,"IMF/IFS (S, CPI, MM rate)"
New Zealand,1985-02,2025-04,483,"IMF/IFS (S, CPI interp., MM rate)"
Philippines,1982-09,2021-12,472,"IMF/IFS (S, CPI, MM rate)"
Switzerland,1982-09,2025-07,515,"IMF/IFS (S, CPI), OECD (i)"
Thailand,1989-02,2025-03,434,"IMF/IFS (S, CPI, MM rate)"
Türkiye,1986-05,2025-06,470,"IMF/IFS (S, CPI, i)"
United Kingdom,1982-09,2025-07,515,"IMF/IFS (S, CPI), OECD (i)"
