Country,Mean_r_s,Var_r_s,Skew_r_s,Kurt_r_s,Mean_f,Var_f
Australia,0.0008,0.001,0.7045,2.5387,-0.0086,0.0002
Brazil,0.0488,0.0104,1.6606,3.115,-0.0399,0.0536
Canada,0.0002,0.0004,0.4249,3.9327,0.0092,0.0002
Euro Area,-0.0,0.0007,0.1595,1.2867,-0.0021,0.0001
Indonesia,0.0057,0.0037,5.3678,69.4273,-0.1421,0.0415
Japan,-0.001,0.0009,-0.2226,1.399,0.0342,0.0031
Korea,0.0012,0.0009,0.7188,12.592,-0.0292,0.0012
Mexico,0.0116,0.0024,6.0905,68.42,-0.1979,0.235
New Zealand,-0.0005,0.0012,0.3714,1.211,-0.0008,0.0001
Philippines,0.0038,0.0008,3.5908,25.9394,-0.0919,0.0162
Switzerland,-0.0019,0.001,-0.1025,0.963,0.0162,0.0019
Thailand,0.0007,0.0008,0.2737,27.8384,-0.0137,0.0003
Türkiye,0.0234,0.0025,2.4488,15.0845,-0.2059,0.5054
United Kingdom,0.0005,0.0008,0.1674,2.4225,0.0024,0.0001
