Country,Ljung-Box Q,ARCH LM,Jarque-Bera
Australia,8.2801 (0.6015),\textbf{14.9009} (0.0049),\textbf{196.5628} (0.0000)
Brazil,\textbf{59.2758} (0.0000),\textbf{39.6404} (0.0000),\textbf{2545.6774} (0.0000)
Canada,\textbf{23.4180} (0.0093),\textbf{15.2635} (0.0042),\textbf{276.5862} (0.0000)
Euro Area,8.3538 (0.5943),\textbf{48.8331} (0.0000),\textbf{18.8333} (0.0001)
Indonesia,\textbf{44.2145} (0.0000),\textbf{50.3805} (0.0000),\textbf{73729.2951} (0.0000)
Japan,\textbf{20.1975} (0.0274),5.3142 (0.2566),\textbf{28.9678} (0.0000)
Korea,\textbf{38.7903} (0.0000),\textbf{162.5248} (0.0000),\textbf{1867.5550} (0.0000)
Mexico,\textbf{184.5590} (0.0000),7.4513 (0.1139),\textbf{11919.5325} (0.0000)
New Zealand,\textbf{19.1951} (0.0379),\textbf{31.3239} (0.0000),\textbf{73.7937} (0.0000)
Philippines,\textbf{25.1323} (0.0051),8.9700 (0.0619),\textbf{9863.3155} (0.0000)
Switzerland,10.3420 (0.4110),6.0242 (0.1973),\textbf{18.0328} (0.0001)
Thailand,\textbf{19.3667} (0.0358),\textbf{52.8779} (0.0000),\textbf{15587.9390} (0.0000)
Türkiye,14.5205 (0.1505),\textbf{14.0027} (0.0073),\textbf{8272.7336} (0.0000)
United Kingdom,4.6851 (0.9112),\textbf{15.0545} (0.0046),\textbf{90.7274} (0.0000)
