Country,const,const1,beta_c,beta_f,gamma,c
Australia,15.1129,-15.1073,294.2944,-0.0179,0.4071,-0.4191
Brazil,0.0139,\textbf{0.3476}***,\textbf{1.9925}***,\textbf{-0.2821}**,\textbf{0.9070}**,\textbf{0.1037}***
Canada,-0.0002,0.0056,\textbf{0.1816}**,-0.0187*,256.0000,\textbf{0.0113}***
Euro Area,-0.0059,0.0029,0.0840,-0.0224*,256.0000,\textbf{0.0036}***
Indonesia,\textbf{0.0091}***,0.7043,0.4063,-0.0733,198.1245,\textbf{0.0722}***
Japan,-0.0020,-0.0408,\textbf{0.2274}***,0.0086,512.0001,0.0279
Korea,\textbf{0.0035}**,\textbf{3.0003}***,0.2684,\textbf{-0.4215}***,1.2871,\textbf{0.0822}**
Mexico,72.8714,-73.0846,751.3892,\textbf{0.0814}**,0.9064,-0.3324
New Zealand,0.0005,\textbf{0.0351}***,\textbf{-0.1446}**,\textbf{-0.0659}***,256.0000,\textbf{0.0023}***
Philippines,\textbf{0.0295}***,0.0023,-0.0288,-0.0066,5544.9990,\textbf{0.0004}***
Switzerland,\textbf{-0.0038}***,\textbf{0.0348}***,0.0769*,\textbf{-0.2274}***,63.8486,\textbf{0.0078}***
Thailand,-10.6922,23.9689,0.3122,-0.0660,0.0002,5.0255
Türkiye,-153.8334,153.9550,,-0.0009,0.3841,
United Kingdom,0.0092,-436.1348,0.0808,-527.8929,0.2400,0.1272
